Date,Name,Close,Volume (#),Volume (ccy),Number of trades,Open,Low,High,Currency,Average price,Capitalization
2014-11-27,MOL,1540.0,271800.0,419723060.0,442.0,1545.625,1531.875,1550.0,HUF,1544.234952170714,1287667722880.0
2014-11-28,MOL,1487.5,743960.0,1117313905.0,1112.0,1537.5,1487.5,1537.5,HUF,1501.846745792785,1243769959600.0
2014-12-01,MOL,1472.5,494968.0,729003160.0,842.0,1481.875,1461.875,1487.5,HUF,1472.828869745115,1231227741520.0
2014-12-02,MOL,1474.375,424744.0,627030400.0,562.0,1472.5,1465.0,1486.875,HUF,1476.254873523817,1232795518780.0
2014-12-03,MOL,1480.0,302136.0,448550780.0,467.0,1468.75,1468.75,1487.5,HUF,1484.598922339609,1237498850560.0
2014-12-04,MOL,1486.875,511672.0,767646975.0,903.0,1498.75,1486.875,1513.125,HUF,1500.271609546741,1243247367180.0
2014-12-05,MOL,1522.5,799144.0,1209366430.0,1003.0,1500.625,1489.375,1522.5,HUF,1513.327297708548,1273035135120.0
2014-12-08,MOL,1522.5,324632.0,492858450.0,421.0,1528.75,1508.125,1528.75,HUF,1518.206615490771,1273035135120.0
2014-12-09,MOL,1510.625,861648.0,1298309085.0,877.0,1511.25,1495.0,1512.5,HUF,1506.774326639184,1263105879140.0
2014-12-10,MOL,1490.625,503688.0,757926145.0,759.0,1506.875,1490.625,1518.125,HUF,1504.753230174235,1246382921700.0
2014-12-11,MOL,1457.5,951344.0,1400282060.0,1312.0,1487.5,1457.5,1488.75,HUF,1471.898766376831,1218685523440.0
2014-12-12,MOL,1441.25,1218560.0,1768689985.0,1469.0,1460.0,1441.25,1473.75,HUF,1451.459086955095,1205098120520.0
2014-12-15,MOL,1420.0,1223416.0,1762207990.0,1796.0,1441.25,1419.375,1465.625,HUF,1440.399659641528,1187329978240.0
2014-12-16,MOL,1370.0,2075656.0,2864552250.0,2638.0,1430.0,1325.0,1434.375,HUF,1380.070806530562,1145522584640.0
2014-12-17,MOL,1379.375,773752.0,1060796140.0,1135.0,1385.0,1351.875,1396.875,HUF,1370.976928007941,1153361470940.0
2014-12-18,MOL,1403.75,683784.0,958279890.0,1025.0,1400.0,1388.75,1418.75,HUF,1401.43655013864,1173742575320.0
2014-12-19,MOL,1435.0,1294160.0,1842875005.0,1387.0,1398.125,1398.125,1443.75,HUF,1423.993173177969,1199872196320.0
2014-12-22,MOL,1450.0,399432.0,577832550.0,593.0,1431.25,1429.375,1457.5,HUF,1446.635597548519,1212414414400.0
2014-12-23,MOL,1443.75,522200.0,752189770.0,524.0,1443.75,1425.0,1450.0,HUF,1440.424684029108,1207188490200.0
2014-12-29,MOL,1435.0,141728.0,204438875.0,260.0,1443.75,1433.75,1450.0,HUF,1442.473435030481,1199872196320.0
2014-12-30,MOL,1443.125,295288.0,424315900.0,338.0,1448.125,1426.875,1448.125,HUF,1436.956124190621,1206665897780.0
2015-01-05,MOL,1412.5,967440.0,1368074380.0,896.0,1426.875,1406.25,1434.375,HUF,1414.118064169354,1181058869200.0
2015-01-06,MOL,1420.0,775192.0,1091409430.0,789.0,1412.5,1396.25,1421.25,HUF,1407.92143107772,1187329978240.0
2015-01-07,MOL,1435.625,696168.0,996866975.0,764.0,1413.75,1412.5,1446.875,HUF,1431.934497132876,1200394788740.0
2015-01-08,MOL,1462.5,510528.0,741790525.0,558.0,1436.25,1436.25,1466.25,HUF,1452.986956640968,1222866262800.0
2015-01-09,MOL,1453.75,261944.0,381041930.0,430.0,1457.5,1450.0,1461.875,HUF,1454.669433161286,1215549968920.0
2015-01-12,MOL,1437.5,410064.0,591661915.0,404.0,1444.375,1431.875,1450.625,HUF,1442.852615689258,1201962566000.0
2015-01-13,MOL,1427.5,778032.0,1113295850.0,651.0,1439.375,1425.0,1442.5,HUF,1430.912674542949,1193601087280.0
2015-01-14,MOL,1405.625,713232.0,1006946705.0,827.0,1423.75,1405.625,1423.75,HUF,1411.808086288893,1175310352580.0
2015-01-15,MOL,1361.875,1170296.0,1623977755.0,1264.0,1408.75,1361.875,1413.125,HUF,1387.664108054714,1138728883180.0
2015-01-16,MOL,1340.0,1190112.0,1593718060.0,1433.0,1356.25,1322.5,1368.75,HUF,1339.132837917776,1120438148480.0
